file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,191,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,10
style.css,192,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,17
style.css,193,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,194,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,10
style.css,195,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,13
style.css,196,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,19
style.css,197,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,10
style.css,198,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,199,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,11
style.css,200,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,11
style.css,201,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,32
style.css,202,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,15
style.css,203,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,17
style.css,204,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,20
style.css,205,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,22
style.css,206,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,18
style.css,207,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,96
style.css,208,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,20
style.css,209,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,37
style.css,210,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,50
style.css,211,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
project2.html,1,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,21
project2.html,2,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,30
project2.html,3,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,6
project2.html,4,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,6
project2.html,5,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,36
project2.html,6,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,36
project2.html,7,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,36
project2.html,8,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,36
project2.html,9,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,36
project2.html,10,html,4fdd2a11,Shriya Pattapu,2025-04-29,21:18:47,-07:00,2025-04-29T21:18:47-07:00,0,36
